id,question,option_a,option_b,option_c,option_d
Q1,"Which of the following are technical objectives of Zero Trust Architecture?","Enable network scanning, centralize access management, expand attack surface","Implement VPNs, maximize user privileges, remove network segmentation","Establish a protective framework, simplify user experience, reduce attack surface and complexity","Increase network visibility, share incident data publicly, allow implicit trust"
Q2,"Which of the following are key business objectives of adopting a Zero Trust Architecture (ZTA)?","Reducing cyber risk, improving compliance management, and aligning organizational culture with ZT principles","Simplifying the enterprise IT architecture, reducing costs, and increasing user productivity","Enabling secure remote access, replacing VPNs, and improving visibility into cloud environments","Accelerating digital transformation, adopting cloud services, and enabling edge computing"
Q3,"What are some key risks to consider when implementing Zero Trust Architecture (ZTA) in a project?","Reduced management overhead compared to legacy architectures","Improved incident containment capabilities","Incompatibility with cloud-based infrastructure and services","Failure of operational ZTA elements like policy decision points or policy enforcement points"
Q4,"According to NIST SP 800-207, which of the following are the three main approaches for implementing a Zero Trust Architecture?","Enhanced identity governance, micro-segmentation, and software-defined perimeters (SDP)","Network segmentation, multi-factor authentication, and cloud access security brokers","Identity and access management, continuous monitoring, and data encryption","Least privilege access, network access control, and endpoint detection and response"
Q5,"What is CSA's SDP approach designed to enable through on-demand, dynamically provisioned isolated networks?","Elimination of the need for network segmentation","Enforcement of Zero Trust principles","Replacement of firewalls with software-based controls","Increased network visibility for all connected devices"
Q6,"What are some limitations of zero trust architecture when it comes to legacy systems, unmanaged devices, and integration?","ZTA is incompatible with legacy systems and cannot be used with unmanaged devices under any circumstances.","ZTA integration will always introduce significant latency and performance degradation, especially for legacy systems.","ZTA may be difficult to fully implement for legacy systems and unmanaged devices, requiring careful integration to minimize latency","Legacy systems and unmanaged devices are easily integrated into ZTA implementations with no special considerations needed."
Q7,"What was a key emphasis of Zero Trust when it was first coined by John Kindervag around 2010?","Network traffic inside the perimeter can be trusted by default","Requests only need a single verification at the network perimeter","Trusted users should be granted broad access without re-verification","All network traffic is untrusted and requests need verification at each step"
Q8,"Which of the following best describes the Zero Trust concept as defined by CSA?","Making no assumptions about trustworthiness, starting with no entitlements, and verifying all access","Trusting internal network traffic by default while verifying external access","Granting entitlements upfront based on user roles and verifying as needed","Verifying access only for resources deemed high-risk or business critical"
Q9,"Which of the following are included in the ZTA design principles?","Implicitly trusting devices inside the network perimeter","Allowing full access privileges to authorized users by default","Denying access until the requestor has been authenticated and authorized","Relying on one-time validation of security controls"
Q10,"The key logical components of a ZTA include which of the following?","Firewalls, intrusion detection systems, and VPNs","Policy decision point, policy enforcement point, and data sources","Identity providers, cloud access security brokers, and micro-segmentation","Initiating hosts, accepting hosts, and SDP gateways"
Q11,"What are the key issues that SDP addresses in traditional network security architectures?","Preventing all cyber attacks, replacing firewalls, and eliminating the need for IAM","Enabling secure internet access, replacing VPNs, and securing physical network ports","The changing perimeter, IP address challenges, and integrating security controls","Preventing misconfiguration, applying security patches, and monitoring network traffic"
Q12,"How can SDP replace or complement existing industry solutions to overcome their limitations?","SDP integrates controls for firewalls, encryption, IAM, session management, and device management","SDP completely replaces firewalls, eliminating the need for any perimeter security","SDP focuses solely on encryption and has no impact on identity and access management systems","SDP eliminates the need for any device management by treating all devices as untrusted"
Q13,"Which of the following are the three core tenets of Software-Defined Perimeter (SDP)?","Trust but verify, limit access, and monitor continuously","Integrate controls, automate security, and enable visibility","Authenticate first, secure the perimeter, and restrict protocols","Assume nothing, trust no one or thing, and validate everything"
Q14,"Which of the following are underlying technologies that SDP relies on to provide its security capabilities?","Intrusion detection systems, VPNs, multi-factor authentication, and DNS security extensions","Drop-all firewalls, separate control/data planes, mutual TLS, and single packet authorization","Role-based access control, OAuth authentication, containerization, and endpoint detection and response","Network access control lists, SSL encryption, host-based firewalls, and security information and event management"
Q15,"Which of the following are key components of the SDP architecture?","Initiating hosts, accepting hosts, gateways, SDP clients, and the controller","Firewalls, intrusion detection systems, and VPNs","SAML identity providers, LDAP directories, and Kerberos key distribution centers","Cloud access security brokers, endpoint detection and response, and SIEMs"
Q16,"What does the SDP secure workflow involve to establish communications between the initiating host and accepting host?","Controller activating hosts first, cloaking the IH, single mTLS handshake, no SPA exchange","IH and AH connecting directly without a controller, no cloaking, SPA exchange after mTLS handshakes","Cloaking the AH, controller connecting to IAM, SPA exchange, separate mTLS handshakes for control and data planes","Cloaking the IH and AH, no IAM integration, combined mTLS handshake for control and data, no SPA"
Q17,"What are some key architectural considerations when deploying SDP?","Replacing all existing firewalls, simplifying user access, minimizing logging, and allowing any device to connect","IAM (Identity and Access Management)","Eliminating DevOps practices, avoiding cloud environments, and prohibiting remote access","Relying solely on perimeter firewalls, enabling unrestricted user access, and minimizing integration with existing identity and access management systems"
Q18,"What is the key benefit of SDP's drop-all firewall that helps reduce an organization's attack surface?","It analyzes packets more thoroughly than traditional firewalls","It can inspect encrypted traffic without decrypting it","It is cheaper and easier to configure than other types of firewalls","It only allows approved actions, rather than trying to block all unapproved actions"
Q19,"What is the primary purpose of the SDP architecture in integrating multiple security controls?","To establish and ensure secure connections across applications, firewalls, clients, etc.","To replace all traditional security tools and eliminate the need for firewalls and IAM","To provide a new type of firewall that can secure connections without any other controls","To encrypt all data at rest across the entire IT infrastructure of an organization"
Q20,"What are some key challenges that SDP helps organizations address when securing their expanding IT environments?","Securing mainframe systems, AS/400 servers, and token ring networks","Securing physical networks, private/public clouds, SDNs, mobile workforce, and IT/OT convergence","Securing smart toilets, intelligent blenders, and self-driving toasters","Securing employee personal devices, public Wi-Fi hotspots, and personal cloud storage"
Q21,"What should be the primary focus when identifying and prioritizing protect surfaces in a Zero Trust implementation?","Defending against all potential threats and attack vectors","Replacing the entire existing infrastructure with new Zero Trust tools","Applying Zero Trust controls uniformly across the entire network","Securing critical data, applications, assets and services (DAAS)"
Q22,"Which of the following is an important objective of mapping transaction flows in a Zero Trust implementation?","To determine optimal placement of controls for data protection","To identify all potential attack vectors","To eliminate the need for network segmentation","To replace the need for access controls"
Q23,"Which of the following is a key challenge in adopting Zero Trust for an organization with legacy systems and infrastructure?","Legacy systems always require immediate Zero Trust upgrades","Legacy infrastructure has no impact on adopting Zero Trust models","Limited network and asset visibility hinders the transition to Zero Trust","Organizations with less mature measurement programs adapt to Zero Trust more easily"
Q24,"What is a key consideration when aligning a Zero Trust strategy with organizational drivers and values?","Understanding how Zero Trust adoption offers competitive advantages like streamlined security and cost reduction","Ensuring Zero Trust controls do not impact user productivity or add friction to business processes","Selecting specific Zero Trust technologies and solutions to implement across the organization","Assigning dedicated personnel to manage the Zero Trust implementation project"
Q25,"Why might legacy systems and infrastructure pose challenges for implementing Zero Trust?","Legacy systems are incompatible with Zero Trust principles and cannot be included in a Zero Trust architecture","Legacy systems have sufficient visibility and control, making Zero Trust implementation straightforward","Legacy systems may have technical constraints that require specialized strategies for Zero Trust implementation","All legacy systems must be immediately upgraded to enable Zero Trust, regardless of strategic considerations"
Q26,"What is a key principle for maintaining the integrity and resilience of Zero Trust environments?","Relying primarily on manual processes and human intervention","Automation, orchestration, and infrastructure as code play critical roles","Implementing a traditional network perimeter security model","Granting implicit trust to devices within the corporate network"
Q27,"What is a key tenet of Zero Trust that assumes malicious actors reside both inside and outside of any network you manage?","Never trust, always verify","Presume breach","Grant least privilege access","Assume a hostile environment"
Q28,"Why is alignment with business functions and compliance requirements important for Zero Trust implementation?","It allows the organization to ignore compliance requirements in favor of Zero Trust principles","It ensures Zero Trust is implemented exactly the same way across all business functions","It ensures that Zero Trust practices adhere to regulations while supporting the organization's objectives","It mandates that compliance audits are no longer necessary after Zero Trust adoption"
Q29,"What is the primary goal when defining the desired state for Zero Trust adoption in an organization?","Fully replacing existing cybersecurity infrastructure and processes","Securing buy-in from key stakeholders within the organization","Creating a standardized Zero Trust roadmap for all organizations","Focusing solely on the technical components of Zero Trust Architecture"
Q30,"What are the five key steps for implementing a Zero Trust architecture according to the Cloud Security Alliance?","Define protect surfaces, map transaction flows, build ZTA, create ZT policy, monitor and maintain","Identify risks, design network segments, implement controls, train users, audit compliance","Assess current state, set goals, deploy tools, enforce policies, measure effectiveness","Inventory assets, classify data, update systems, restrict access, enable monitoring"
Q31,"Which role is most critical in a Zero Trust implementation for determining access privileges as part of their data governance responsibilities?","Asset custodian","End users","IT administrators","Asset owner"
Q32,"What inventories potential risk events and controls to reduce risk within defined appetite thresholds?","A risk register","A configuration management database (CMDB)","A business impact assessment (BIA)","A data classification policy"
Q33,"Which of the following should be identified early in Zero Trust planning to determine potential impacts or updates needed?","Workforce training needs","Desired target CISA maturity stage","Architecture capabilities and components","Attack surface monitoring tools"
Q34,"How can implementing a Zero Trust approach help organizations comply with existing cybersecurity and data privacy regulations?","By eliminating the need for organizations to comply with any regulations","By providing a checklist of all the specific Zero Trust regulatory requirements","By automatically reporting an organization's Zero Trust status to regulators","By increasing control over regulated data and driving better overall cybersecurity"
Q35,"How should organizations prioritize their Zero Trust efforts?","Based on complexity, risks, or use cases, with a business case to justify the project","Randomly select protect surfaces to implement Zero Trust","Tackle the most complex protect surfaces first to get them out of the way","Prioritize based solely on available budget without considering other factors"
Q36,"What is a crucial prerequisite step before defining the scope of a Zero Trust implementation project?","Identifying all the stakeholders who need to be involved in the Zero Trust planning process","Conducting data/asset discovery and classification to understand what needs to be protected","Performing a gap analysis to determine the organization's current Zero Trust maturity level","Developing a business case to justify the investment in Zero Trust security controls"
Q37,"Which of the following best describes who is responsible for planning and maintaining Zero Trust policies that regulate visibility and access based on various attributes?","The identity provider","A policy administrator","The Policy Enforcement Point","The data owner"
